id,x,y,ra,dec,flux,flux_err,mag,mag_err,flag,a,b
5170,1503.0307005762443,3591.864730676358,313.643800087395,28.056156101272887,743506.2164062503,8509.068283684546,-14.678211509951407,0.012425724628114577,0,8.179023742675781,4.838616371154785
1257,3383.0757174948203,880.0862802171641,310.26622006373367,32.30674989823047,743290.66734375,8520.942375544137,-14.677896699737241,0.012446672670931662,0,5.667206764221191,3.6896462440490723
3007,3676.786630705235,2140.4969745443977,309.75285079196294,30.33745123975621,739819.7057812503,8485.027614909763,-14.672814737420325,0.012452360497956238,0,3.6424365043640137,3.5115106105804443
3456,3457.866086212683,2480.701924823057,310.1564479837966,29.810191665107173,736378.2148437501,8508.649426016082,-14.66775232942413,0.012545385712395567,0,3.9133424758911133,3.2454042434692383
2668,2759.9261673386914,1897.8892839597302,311.4184698175709,30.72178136024585,735835.5542187501,8526.442375587767,-14.666951920778967,0.012580891385152448,0,5.949623107910156,5.607443332672119
4965,1941.6340139275294,3474.6602489684783,312.8696270008868,28.25125524279129,729702.05171875,8508.257100706274,-14.657863918423498,0.012659581745547486,0,3.6747705936431885,3.2265384197235107
1891,3865.629247968546,1345.2969799874018,309.3862921400643,31.57325713220143,729499.2239062502,8502.295003933132,-14.657562085490014,0.012654228005718473,0,2.759685754776001,2.470447301864624
4966,2388.5137711271254,3480.1881852274473,312.07556915535434,28.25100189604869,725125.8592187499,8490.124587379078,-14.651033482704358,0.012712325081546731,0,2.6599998474121094,2.4322516918182373
3690,4464.512826972678,2647.443104823543,308.34672009950657,29.52556449397961,723968.2490625002,8501.969734071188,-14.649298799611225,0.01275041600787389,0,2.5886104106903076,2.2883341312408447
1931,3863.6087011384966,1377.3182465934074,309.39096813112957,31.523402142076346,723359.7842187501,8484.05762027927,-14.648385900345943,0.012734255791590541,0,3.1012825965881348,2.5890378952026367
